sample,mappedLeft,mappedRight,overall,concordant
140327_I481_FCC3P1PACXX_L2_Pool_1_E05_UV,56.0%,57.4%,56.7%,44.0%
140327_I481_FCC3P1PACXX_L2_Pool_1_E05_VIS,56.7%,58.0%,57.4%,45.0%
140327_I481_FCC3P1PACXX_L2_Pool_1_PA_UV1,86.5%,86.6%,86.6%,81.5%
140327_I481_FCC3P1PACXX_L2_Pool_1_PA_VIS1,85.2%,85.2%,85.2%,79.8%
140327_I481_FCC3P1PACXX_L2_Pool_1_R2_UV,57.0%,58.3%,57.7%,45.1%
140327_I481_FCC3P1PACXX_L2_Pool_1_R2_VIS,56.7%,57.9%,57.3%,45.4%
140327_I481_FCC3P1PACXX_L2_Pool_1_Sierra_UV,61.0%,62.2%,61.6%,49.9%
140327_I481_FCC3P1PACXX_L2_Pool_1_Sierra_VIS,61.2%,62.3%,61.7%,49.9%
140327_I481_FCC3P1PACXX_L2_Pool_1_Y023_5_UV,56.8%,58.2%,57.5%,44.8%
140327_I481_FCC3P1PACXX_L2_Pool_1_Y023_5_VIS,56.6%,58.0%,57.3%,44.1%
140327_I481_FCC3P1PACXX_L2_Pool_1_Y05_UV,56.8%,58.2%,57.5%,44.5%
140327_I481_FCC3P1PACXX_L2_Pool_1_Y05_VIS,56.2%,57.6%,56.9%,44.3%
140327_I481_FCC3P1PACXX_L3_Pool_2_E05_UV,55.7%,57.0%,56.4%,43.7%
140327_I481_FCC3P1PACXX_L3_Pool_2_E05_VIS,57.2%,58.5%,57.9%,44.4%
140327_I481_FCC3P1PACXX_L3_Pool_2_PA_UV2,85.6%,85.5%,85.5%,79.6%
140327_I481_FCC3P1PACXX_L3_Pool_2_PA_VIS2,86.4%,86.3%,86.4%,80.9%
140327_I481_FCC3P1PACXX_L3_Pool_2_R2_UV,58.2%,59.5%,58.8%,45.2%
140327_I481_FCC3P1PACXX_L3_Pool_2_R2_VIS,57.2%,58.5%,57.9%,44.7%
140327_I481_FCC3P1PACXX_L3_Pool_2_Sierra_UV,60.3%,61.4%,60.9%,48.7%
140327_I481_FCC3P1PACXX_L3_Pool_2_Sierra_VIS,59.6%,60.7%,60.1%,48.5%
140327_I481_FCC3P1PACXX_L3_Pool_2_Y023_5_UV,55.0%,56.3%,55.7%,43.5%
140327_I481_FCC3P1PACXX_L3_Pool_2_Y023_5_VIS,55.8%,57.1%,56.4%,42.9%
140327_I481_FCC3P1PACXX_L3_Pool_2_Y05_UV,56.9%,58.1%,57.5%,44.7%
140327_I481_FCC3P1PACXX_L3_Pool_2_Y05_VIS,57.4%,58.7%,58.0%,45.2%
140327_I481_FCC3P1PACXX_L4_Pool_3_E05_UV,58.1%,59.5%,58.8%,45.9%
140327_I481_FCC3P1PACXX_L4_Pool_3_E05_VIS,55.9%,57.2%,56.6%,44.0%
140327_I481_FCC3P1PACXX_L4_Pool_3_PA_UV3,86.2%,86.5%,86.4%,81.0%
140327_I481_FCC3P1PACXX_L4_Pool_3_PA_VIS3,86.4%,86.6%,86.5%,81.1%
140327_I481_FCC3P1PACXX_L4_Pool_3_R2_UV,57.5%,58.8%,58.1%,45.4%
140327_I481_FCC3P1PACXX_L4_Pool_3_R2_VIS,59.1%,60.3%,59.7%,47.1%
140327_I481_FCC3P1PACXX_L4_Pool_3_Sierra_UV,62.2%,63.4%,62.8%,51.1%
140327_I481_FCC3P1PACXX_L4_Pool_3_Sierra_VIS,62.9%,64.1%,63.5%,51.8%
140327_I481_FCC3P1PACXX_L4_Pool_3_Y023_5_UV,56.4%,57.8%,57.1%,44.0%
140327_I481_FCC3P1PACXX_L4_Pool_3_Y023_5_VIS,56.4%,57.8%,57.1%,44.0%
140327_I481_FCC3P1PACXX_L4_Pool_3_Y05_UV,56.8%,58.1%,57.4%,44.9%
140327_I481_FCC3P1PACXX_L4_Pool_3_Y05_VIS,57.6%,58.9%,58.3%,45.8%
