sample,treatment,genotype,tolerance,replicate
Y05_VIS_Pool1,VIS,Y05,Tol,1
Y05_VIS_Pool2,VIS,Y05,Tol,2
Y05_VIS_Pool3,VIS,Y05,Tol,3
Y05_UV_Pool1,UV,Y05,Tol,1
Y05_UV_Pool2,UV,Y05,Tol,2
Y05_UV_Pool3,UV,Y05,Tol,3
Y023_5_VIS_Pool1,VIS,Y023,Tol,1
Y023_5_VIS_Pool2,VIS,Y023,Tol,2
Y023_5_VIS_Pool3,VIS,Y023,Tol,3
Y023_5_UV_Pool1,UV,Y023,Tol,1
Y023_5_UV_Pool2,UV,Y023,Tol,2
Y023_5_UV_Pool3,UV,Y023,Tol,3
E05_VIS_Pool1,VIS,E05,NTol,1
E05_VIS_Pool2,VIS,E05,NTol,2
E05_VIS_Pool3,VIS,E05,NTol,3
E05_UV_Pool1,UV,E05,NTol,1
E05_UV_Pool2,UV,E05,NTol,2
E05_UV_Pool3,UV,E05,NTol,3
R2_VIS_Pool1,VIS,R2,NTol,1
R2_VIS_Pool2,VIS,R2,NTol,2
R2_VIS_Pool3,VIS,R2,NTol,3
R2_UV_Pool1,UV,R2,NTol,1
R2_UV_Pool2,UV,R2,NTol,2
R2_UV_Pool3,UV,R2,NTol,3
