sample,treatment,tolerance
Y05_VIS_Pool1,VIS,Tol
Y05_VIS_Pool2,VIS,Tol
Y05_VIS_Pool3,VIS,Tol
Y05_UV_Pool1,UV,Tol
Y05_UV_Pool2,UV,Tol
Y05_UV_Pool3,UV,Tol
Y023_5_VIS_Pool1,VIS,Tol
Y023_5_VIS_Pool2,VIS,Tol
Y023_5_VIS_Pool3,VIS,Tol
Y023_5_UV_Pool1,UV,Tol
Y023_5_UV_Pool2,UV,Tol
Y023_5_UV_Pool3,UV,Tol
E05_VIS_Pool1,VIS,NTol
E05_VIS_Pool2,VIS,NTol
E05_VIS_Pool3,VIS,NTol
E05_UV_Pool1,UV,NTol
E05_UV_Pool2,UV,NTol
E05_UV_Pool3,UV,NTol
R2_VIS_Pool1,VIS,NTol
R2_VIS_Pool2,VIS,NTol
R2_VIS_Pool3,VIS,NTol
R2_UV_Pool1,UV,NTol
R2_UV_Pool2,UV,NTol
R2_UV_Pool3,UV,NTol
